,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
volatile acidity,0.23,,,,,,,,,
citric acid,0.38,0.4,,,,,,,,
residual sugar,0.03,0.06,0.05,,,,,,,
chlorides,0.07,0.01,0.09,0.03,,,,,,
free sulfur dioxide,0.1,0.09,0.16,0.11,0.1,,,,,
total sulfur dioxide,0.2,0.01,0.09,0.2,0.15,0.05,,,,
density,0.4,0.01,0.22,0.48,0.06,0.32,0.46,,,
pH,0.26,0.27,0.38,0.11,0.17,0.07,0.07,0.25,,
sulphates,0.2,0.23,0.25,0.03,0.35,0.01,0.09,0.07,0.35,
alcohol,0.06,0.27,0.19,0.49,0.14,0.18,0.24,0.28,0.08,0.11
