,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
volatile acidity,0.22,,,,,,,,,,
citric acid,0.32,-0.38,,,,,,,,,
residual sugar,-0.11,-0.2,0.14,,,,,,,,
chlorides,0.3,0.38,0.04,-0.13,,,,,,,
free sulfur dioxide,-0.28,-0.35,0.13,0.4,-0.2,,,,,,
total sulfur dioxide,-0.33,-0.41,0.2,0.5,-0.28,0.72,,,,,
density,0.46,0.27,0.1,0.55,0.36,0.03,0.03,,,,
pH,-0.25,0.26,-0.33,-0.27,0.04,-0.15,-0.24,0.01,,,
sulphates,0.3,0.23,0.06,-0.19,0.4,-0.19,-0.28,0.26,0.19,,
alcohol,-0.1,-0.04,-0.01,-0.36,-0.26,-0.18,-0.27,-0.69,0.12,-0.0,
color,0.49,0.65,-0.19,-0.35,0.51,-0.47,-0.7,0.39,0.33,0.49,-0.03
