,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
volatile acidity,0.24,,,,,,,,,
citric acid,0.38,0.4,,,,,,,,
residual sugar,0.02,0.06,0.05,,,,,,,
chlorides,0.07,0.01,0.09,0.03,,,,,,
free sulfur dioxide,0.1,0.09,0.15,0.11,0.09,,,,,
total sulfur dioxide,0.2,0.01,0.08,0.2,0.15,0.05,,,,
density,0.4,0.01,0.21,0.48,0.06,0.31,0.46,,,
pH,0.25,0.26,0.38,0.1,0.18,0.07,0.07,0.25,,
sulphates,0.2,0.22,0.25,0.04,0.35,0.01,0.09,0.08,0.36,
alcohol,0.06,0.27,0.19,0.49,0.14,0.18,0.24,0.28,0.09,0.11
