,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
volatile acidity,-0.26,,,,,,,,,
citric acid,0.67,-0.55,,,,,,,,
residual sugar,0.11,0.0,0.14,,,,,,,
chlorides,0.09,0.06,0.2,0.06,,,,,,
free sulfur dioxide,-0.15,-0.01,-0.06,0.19,0.01,,,,,
total sulfur dioxide,-0.11,0.08,0.04,0.2,0.05,0.67,,,,
density,0.67,0.02,0.36,0.36,0.2,-0.02,0.07,,,
pH,-0.68,0.23,-0.54,-0.09,-0.27,0.07,-0.07,-0.34,,
sulphates,0.18,-0.26,0.31,0.01,0.37,0.05,0.04,0.15,-0.2,
alcohol,-0.06,-0.2,0.11,0.04,-0.22,-0.07,-0.21,-0.5,0.21,0.09
