,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
volatile acidity,-0.02,,,,,,,,,
citric acid,0.29,-0.15,,,,,,,,
residual sugar,0.09,0.06,0.09,,,,,,,
chlorides,0.02,0.07,0.11,0.09,,,,,,
free sulfur dioxide,-0.05,-0.1,0.09,0.3,0.1,,,,,
total sulfur dioxide,0.09,0.09,0.12,0.4,0.2,0.62,,,,
density,0.27,0.03,0.15,0.84,0.26,0.29,0.53,,,
pH,-0.43,-0.03,-0.16,-0.19,-0.09,-0.0,0.0,-0.09,,
sulphates,-0.02,-0.04,0.06,-0.03,0.02,0.06,0.13,0.07,0.16,
alcohol,-0.12,0.07,-0.08,-0.45,-0.36,-0.25,-0.45,-0.78,0.12,-0.02
